año	nombre	créditos
2007	ÁFRICA SUBSAHARIANA, NO ESPECIFICADOS	0
2007	ÁFRICA, NO ESPECIFICADOS	0
2007	AMÉRICA DEL NORTE, CENTRAL Y CARIBE, NO ESPECIFICADOS	0
2007	AMÉRICA DEL SUR, NO ESPECIFICADOS	0
2007	AMÉRICA, NO ESPECIFICADOS	0
2007	ASIA CENTRAL, NO ESPECIFICADOS	0
2007	ASIA ORIENTAL, NO ESPECIFICADOS	0
2007	ASIA SUR, NO ESPECIFICADOS	0
2007	ASIA, NO ESPECIFICADOS	0
2007	EUROPA, NO ESPECIFICADOS	0
2007	MAGREB, NO ESPECIFICADOS	0
2007	MEDITERRÁNEO, NO ESPECIFICADOS	0
2007	NORTE DE ÁFRICA, NO ESPECIFICADOS	0
2007	OCEANÍA, NO ESPECIFICADOS	0
2007	ORIENTE MEDIO, NO ESPECIFICADOS	0
2007	PAÍSES EN VÍAS DE DESARROLLO, NO ESPECIFICADOS	0
2008	ÁFRICA SUBSAHARIANA, NO ESPECIFICADOS	0
2008	ÁFRICA, NO ESPECIFICADOS	0
2008	AMÉRICA DEL NORTE, CENTRAL Y CARIBE, NO ESPECIFICADOS	4468827
2008	AMÉRICA DEL SUR, NO ESPECIFICADOS	0
2008	AMÉRICA, NO ESPECIFICADOS	10863
2008	ASIA CENTRAL, NO ESPECIFICADOS	0
2008	ASIA ORIENTAL, NO ESPECIFICADOS	0
2008	ASIA SUR, NO ESPECIFICADOS	0
2008	ASIA, NO ESPECIFICADOS	0
2008	EUROPA, NO ESPECIFICADOS	0
2008	MAGREB, NO ESPECIFICADOS	0
2008	NORTE DE ÁFRICA, NO ESPECIFICADOS	0
2008	OCEANÍA, NO ESPECIFICADOS	0
2008	ORIENTE MEDIO, NO ESPECIFICADOS	0
2008	PAÍSES DE LA CARICOM, NO ESPECIFICADOS	0
2008	PAÍSES EN VÍAS DE DESARROLLO, NO ESPECIFICADOS	16925757
2009	ÁFRICA SUBSAHARIANA, NO ESPECIFICADOS	0
2009	ÁFRICA, NO ESPECIFICADOS	0
2009	AMÉRICA DEL NORTE, CENTRAL Y CARIBE, NO ESPECIFICADOS	0
2009	AMÉRICA DEL SUR, NO ESPECIFICADOS	0
2009	AMÉRICA, NO ESPECIFICADOS	4343671
2009	ASIA CENTRAL, NO ESPECIFICADOS	0
2009	ASIA ORIENTAL, NO ESPECIFICADOS	0
2009	ASIA SUR, NO ESPECIFICADOS	0
2009	ASIA, NO ESPECIFICADOS	0
2009	ESTADOS DE LA EX-YUGOSLAVIA, NO ESPECIFICADOS	0
2009	EUROPA, NO ESPECIFICADOS	0
2009	MAGREB, NO ESPECIFICADOS	0
2009	NORTE DE ÁFRICA, NO ESPECIFICADOS	0
2009	OCEANÍA, NO ESPECIFICADOS	0
2009	ORIENTE MEDIO, NO ESPECIFICADOS	0
2009	PAÍSES DE LA CARICOM, NO ESPECIFICADOS	0
2009	PAÍSES EN VÍAS DE DESARROLLO, NO ESPECIFICADOS	0
2010	ÁFRICA SUBSAHARIANA, NO ESPECIFICADOS	0
2010	ÁFRICA, NO ESPECIFICADOS	10200000
2010	AMÉRICA DEL NORTE, CENTRAL Y CARIBE, NO ESPECIFICADOS	3941666
2010	AMÉRICA DEL SUR, NO ESPECIFICADOS	0
2010	AMÉRICA, NO ESPECIFICADOS	9150
2010	ASIA CENTRAL, NO ESPECIFICADOS	0
2010	ASIA ORIENTAL, NO ESPECIFICADOS	0
2010	ASIA SUR, NO ESPECIFICADOS	0
2010	ASIA, NO ESPECIFICADOS	0
2010	ESTADOS DE LA EX-YUGOSLAVIA, NO ESPECIFICADOS	0
2010	EUROPA, NO ESPECIFICADOS	0
2010	MAGREB, NO ESPECIFICADOS	0
2010	NORTE DE ÁFRICA, NO ESPECIFICADOS	0
2010	OCEANÍA, NO ESPECIFICADOS	0
2010	ORIENTE MEDIO, NO ESPECIFICADOS	0
2010	PAÍSES DE LA CARICOM, NO ESPECIFICADOS	0
2010	PAÍSES EN VÍAS DE DESARROLLO, NO ESPECIFICADOS	695068
2011	ÁFRICA SUBSAHARIANA, NO ESPECIFICADOS	0
2011	ÁFRICA, NO ESPECIFICADOS	0
2011	AMÉRICA DEL NORTE, CENTRAL Y CARIBE, NO ESPECIFICADOS	4289608
2011	AMÉRICA DEL SUR, NO ESPECIFICADOS	0
2011	AMÉRICA, NO ESPECIFICADOS	0
2011	ASIA CENTRAL, NO ESPECIFICADOS	0
2011	ASIA ORIENTAL, NO ESPECIFICADOS	0
2011	ASIA SUR, NO ESPECIFICADOS	0
2011	ASIA, NO ESPECIFICADOS	0
2011	ESTADOS DE LA EX-YUGOSLAVIA, NO ESPECIFICADOS	0
2011	EUROPA, NO ESPECIFICADOS	0
2011	MAGREB, NO ESPECIFICADOS	0
2011	NORTE DE ÁFRICA, NO ESPECIFICADOS	0
2011	OCEANÍA, NO ESPECIFICADOS	0
2011	ORIENTE MEDIO, NO ESPECIFICADOS	0
2011	PAÍSES DE LA CARICOM, NO ESPECIFICADOS	0
2011	PAÍSES EN VÍAS DE DESARROLLO, NO ESPECIFICADOS	2207620
2012	ÁFRICA SUBSAHARIANA, NO ESPECIFICADOS	427285.18
2012	ÁFRICA, NO ESPECIFICADOS	487320.39
2012	AMÉRICA DEL NORTE, CENTRAL Y CARIBE, NO ESPECIFICADOS	167416.41
2012	AMÉRICA DEL SUR, NO ESPECIFICADOS	0
2012	AMÉRICA, NO ESPECIFICADOS	0
2012	ASIA CENTRAL, NO ESPECIFICADOS	0
2012	ASIA ORIENTAL, NO ESPECIFICADOS	0
2012	ASIA SUR, NO ESPECIFICADOS	0
2012	ASIA, NO ESPECIFICADOS	0
2012	ESTADOS DE LA EX-YUGOSLAVIA, NO ESPECIFICADOS	0
2012	EUROPA, NO ESPECIFICADOS	0
2012	MAGREB, NO ESPECIFICADOS	0
2012	MEDITERRÁNEO, NO ESPECIFICADOS	0
2012	NORTE DE ÁFRICA, NO ESPECIFICADOS	0
2012	OCEANÍA, NO ESPECIFICADOS	0
2012	ORIENTE MEDIO, NO ESPECIFICADOS	0
2012	PAÍSES DE LA CARICOM, NO ESPECIFICADOS	0
2012	PAÍSES EN VÍAS DE DESARROLLO, NO ESPECIFICADOS	250208.28
