año	nombre	total
2007	ÁFRICA SUBSAHARIANA, NO ESPECIFICADOS	5614950
2007	ÁFRICA, NO ESPECIFICADOS	12558073
2007	AMÉRICA DEL NORTE, CENTRAL Y CARIBE, NO ESPECIFICADOS	10161353
2007	AMÉRICA DEL SUR, NO ESPECIFICADOS	5878160
2007	AMÉRICA, NO ESPECIFICADOS	47659419
2007	ASIA CENTRAL, NO ESPECIFICADOS	0
2007	ASIA ORIENTAL, NO ESPECIFICADOS	714274
2007	ASIA SUR, NO ESPECIFICADOS	0
2007	ASIA, NO ESPECIFICADOS	2367000
2007	EUROPA, NO ESPECIFICADOS	1232900
2007	MAGREB, NO ESPECIFICADOS	1568520
2007	MEDITERRÁNEO, NO ESPECIFICADOS	241200
2007	NORTE DE ÁFRICA, NO ESPECIFICADOS	3803477
2007	OCEANÍA, NO ESPECIFICADOS	0
2007	ORIENTE MEDIO, NO ESPECIFICADOS	2588203
2007	PAÍSES EN VÍAS DE DESARROLLO, NO ESPECIFICADOS	270797845
2008	ÁFRICA SUBSAHARIANA, NO ESPECIFICADOS	64968928
2008	ÁFRICA, NO ESPECIFICADOS	121027318
2008	AMÉRICA DEL NORTE, CENTRAL Y CARIBE, NO ESPECIFICADOS	27018598
2008	AMÉRICA DEL SUR, NO ESPECIFICADOS	24523073
2008	AMÉRICA, NO ESPECIFICADOS	492034963
2008	ASIA CENTRAL, NO ESPECIFICADOS	1877807
2008	ASIA ORIENTAL, NO ESPECIFICADOS	7987480
2008	ASIA SUR, NO ESPECIFICADOS	737468
2008	ASIA, NO ESPECIFICADOS	53003395
2008	EUROPA, NO ESPECIFICADOS	30948758
2008	MAGREB, NO ESPECIFICADOS	300000
2008	NORTE DE ÁFRICA, NO ESPECIFICADOS	18486913
2008	OCEANÍA, NO ESPECIFICADOS	3691624
2008	ORIENTE MEDIO, NO ESPECIFICADOS	25230820
2008	PAÍSES DE LA CARICOM, NO ESPECIFICADOS	1583162
2008	PAÍSES EN VÍAS DE DESARROLLO, NO ESPECIFICADOS	794911891
2009	ÁFRICA SUBSAHARIANA, NO ESPECIFICADOS	134123844
2009	ÁFRICA, NO ESPECIFICADOS	116992398
2009	AMÉRICA DEL NORTE, CENTRAL Y CARIBE, NO ESPECIFICADOS	19519309
2009	AMÉRICA DEL SUR, NO ESPECIFICADOS	17886137
2009	AMÉRICA, NO ESPECIFICADOS	196003178
2009	ASIA CENTRAL, NO ESPECIFICADOS	2212248
2009	ASIA ORIENTAL, NO ESPECIFICADOS	320237
2009	ASIA SUR, NO ESPECIFICADOS	1043592
2009	ASIA, NO ESPECIFICADOS	17799211
2009	ESTADOS DE LA EX-YUGOSLAVIA, NO ESPECIFICADOS	1384262
2009	EUROPA, NO ESPECIFICADOS	20646758
2009	MAGREB, NO ESPECIFICADOS	1138191
2009	NORTE DE ÁFRICA, NO ESPECIFICADOS	11564060
2009	OCEANÍA, NO ESPECIFICADOS	1972656
2009	ORIENTE MEDIO, NO ESPECIFICADOS	8449944
2009	PAÍSES DE LA CARICOM, NO ESPECIFICADOS	1072000
2009	PAÍSES EN VÍAS DE DESARROLLO, NO ESPECIFICADOS	758655319
2010	ÁFRICA SUBSAHARIANA, NO ESPECIFICADOS	188075155
2010	ÁFRICA, NO ESPECIFICADOS	64063771
2010	AMÉRICA DEL NORTE, CENTRAL Y CARIBE, NO ESPECIFICADOS	24792948
2010	AMÉRICA DEL SUR, NO ESPECIFICADOS	25241784
2010	AMÉRICA, NO ESPECIFICADOS	292428397
2010	ASIA CENTRAL, NO ESPECIFICADOS	8462626
2010	ASIA ORIENTAL, NO ESPECIFICADOS	15056395
2010	ASIA SUR, NO ESPECIFICADOS	10036655
2010	ASIA, NO ESPECIFICADOS	11871977
2010	ESTADOS DE LA EX-YUGOSLAVIA, NO ESPECIFICADOS	293633
2010	EUROPA, NO ESPECIFICADOS	24066349
2010	MAGREB, NO ESPECIFICADOS	626155
2010	NORTE DE ÁFRICA, NO ESPECIFICADOS	22744667
2010	OCEANÍA, NO ESPECIFICADOS	5506199
2010	ORIENTE MEDIO, NO ESPECIFICADOS	9075871
2010	PAÍSES DE LA CARICOM, NO ESPECIFICADOS	1153970
2010	PAÍSES EN VÍAS DE DESARROLLO, NO ESPECIFICADOS	894909539
2011	ÁFRICA SUBSAHARIANA, NO ESPECIFICADOS	50276090
2011	ÁFRICA, NO ESPECIFICADOS	22123175
2011	AMÉRICA DEL NORTE, CENTRAL Y CARIBE, NO ESPECIFICADOS	20143896
2011	AMÉRICA DEL SUR, NO ESPECIFICADOS	63350225
2011	AMÉRICA, NO ESPECIFICADOS	118294855
2011	ASIA CENTRAL, NO ESPECIFICADOS	1835062
2011	ASIA ORIENTAL, NO ESPECIFICADOS	361890
2011	ASIA SUR, NO ESPECIFICADOS	1812697
2011	ASIA, NO ESPECIFICADOS	29952675
2011	ESTADOS DE LA EX-YUGOSLAVIA, NO ESPECIFICADOS	592209
2011	EUROPA, NO ESPECIFICADOS	38532311
2011	MAGREB, NO ESPECIFICADOS	3500
2011	NORTE DE ÁFRICA, NO ESPECIFICADOS	100565689
2011	OCEANÍA, NO ESPECIFICADOS	1212535
2011	ORIENTE MEDIO, NO ESPECIFICADOS	10501789
2011	PAÍSES DE LA CARICOM, NO ESPECIFICADOS	2504253
2011	PAÍSES EN VÍAS DE DESARROLLO, NO ESPECIFICADOS	545682683.96
2012	ÁFRICA SUBSAHARIANA, NO ESPECIFICADOS	22554545.909999996
2012	ÁFRICA, NO ESPECIFICADOS	10631611.97
2012	AMÉRICA DEL NORTE, CENTRAL Y CARIBE, NO ESPECIFICADOS	32075417.2
2012	AMÉRICA DEL SUR, NO ESPECIFICADOS	3229462.730000001
2012	AMÉRICA, NO ESPECIFICADOS	11974812.660000002
2012	ASIA CENTRAL, NO ESPECIFICADOS	83942.94
2012	ASIA ORIENTAL, NO ESPECIFICADOS	25468.11
2012	ASIA SUR, NO ESPECIFICADOS	349051.07
2012	ASIA, NO ESPECIFICADOS	40604
2012	ESTADOS DE LA EX-YUGOSLAVIA, NO ESPECIFICADOS	1670.04
2012	EUROPA, NO ESPECIFICADOS	732752.26
2012	MAGREB, NO ESPECIFICADOS	491946.13
2012	MEDITERRÁNEO, NO ESPECIFICADOS	1518775.63
2012	NORTE DE ÁFRICA, NO ESPECIFICADOS	2364325.2700000005
2012	OCEANÍA, NO ESPECIFICADOS	90474.23
2012	ORIENTE MEDIO, NO ESPECIFICADOS	846237.0499999999
2012	PAÍSES DE LA CARICOM, NO ESPECIFICADOS	486764.27
2012	PAÍSES EN VÍAS DE DESARROLLO, NO ESPECIFICADOS	1027774602.0699999
